block,base_station,attack_types,rows,benign,malicious,malicious_pct,accuracy,precision,recall,f1,fpr,tnr,TP,TN,FP,FN
1,0,TCPConnectScan,11645,1623,10022,86.0627,0.9851438385573207,0.9998984874632018,0.9828377569347435,0.9912947214814068,0.0006161429451632779,0.9993838570548367,9850,1622,1,172
3,0,ICMPFlood,18279,17666,613,3.3536,0.9986870178893813,0.9623233908948194,1.0,0.9808,0.0013585418317672365,0.9986414581682328,613,17642,24,0
10,1,SYNScan,11526,1502,10024,86.9686,0.9999132396321361,0.9999002493765586,1.0,0.9999501222006084,0.0006657789613848203,0.9993342210386151,10024,1501,1,0
12,1,UDPScan,10305,2286,8019,77.8166,0.9974769529354682,0.9998749218261413,0.9968824042898117,0.9983764206319471,0.0004374453193350831,0.9995625546806649,7994,2285,1,25
15,1,SYNFlood,14108,9179,4929,34.9376,0.9995747093847462,0.9991888055161224,0.9995942381821871,0.9993914807302232,0.000435777317790609,0.9995642226822093,4927,9175,4,2
16,1,HTTPFlood,93650,28959,64691,69.0774,0.9927175654030966,0.9900473135402471,0.9995053407738326,0.9947538461538462,0.022445526433923824,0.9775544735660762,64659,28309,650,32
17,1,SlowrateDoS,12656,5609,7047,55.6811,0.9993678887484198,0.9988660524450744,1.0,0.9994327045809105,0.0014262791941522554,0.9985737208058477,7047,5601,8,0
19,1,Benign,1358,1358,0,0.0,0.9896907216494846,0.0,0.0,0.0,0.010309278350515464,0.9896907216494846,0,1344,14,0
