group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,68182,0,68182,703,703.0,67479.0,0.010310639171628876,,,
HTTPFlood,64691,64691,0,64659,,,,0.9995053407738326,64659.0,32.0
ICMPFlood,613,613,0,613,,,,1.0,613.0,0.0
SYNFlood,4929,4929,0,4927,,,,0.9995942381821871,4927.0,2.0
SYNScan,10024,10024,0,10024,,,,1.0,10024.0,0.0
SlowrateDoS,7047,7047,0,7047,,,,1.0,7047.0,0.0
TCPConnectScan,10022,10022,0,9850,,,,0.9828377569347435,9850.0,172.0
UDPScan,8019,8019,0,7994,,,,0.9968824042898117,7994.0,25.0
