group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,68182,0,68182,703,703.0,67479.0,0.010310639171628876,,,
Goldeneye,64691,64691,0,64659,,,,0.9995053407738326,64659.0,32.0
Hping3,5542,5542,0,5540,,,,0.9996391194514616,5540.0,2.0
Nmap,28065,28065,0,27868,,,,0.992980580794584,27868.0,197.0
Slowloris,7047,7047,0,7047,,,,1.0,7047.0,0.0
