fpr,tpr
0.0,0.0
0.0,0.01343205657601215
0.0,0.018966253737718923
0.0,0.022896198205894915
0.0,0.022991124400778395
0.0,0.02304808011770848
0.0,0.02894299681997247
0.0,0.031800275285965164
0.0,0.031838245763918555
0.0,0.03587260904646637
0.0,0.03645165883525559
0.0,0.12628980967297926
0.0,0.12748587972851108
0.0,0.1286249940671128
0.0,0.15555555555555556
0.0,0.15595424557406617
0.0,0.15615359058332146
0.0,0.15649532488490198
0.0,0.15667568465518059
0.0,0.16417485405097537
0.0,0.1645355735915326
0.0,0.16745930039394372
0.0,0.1676966158811524
0.0,0.16926289809672979
0.0,0.16936731691110163
0.0,0.17128482604774786
0.0,0.1713512743841663
0.0,0.172243580616071
0.0,0.17264227063458162
0.0,0.17267074849304664
0.0,0.1727751673074185
0.0,0.1729555270776971
0.0,0.17308842375053396
0.0,0.1743889126204376
0.0,0.17474963216099482
0.0,0.17492049931178508
0.0,0.17500593288718022
0.0,0.17567041625136456
0.0,0.1759362095970383
0.0,0.1759741800749917
0.0,0.17600265793345674
0.0,0.17608809150885188
0.0,0.17618301770373535
0.0,0.17622098818168874
0.0,0.17632540699606056
0.0,0.17669561915610613
0.0,0.1771038017941051
0.0,0.17713227965257014
0.0,0.1771892353695002
0.0,0.17780625563624283
0.0,0.1778821965921496
0.0,0.1780815416014049
0.0,0.17819545303526507
0.0,0.1785182020978689
0.0,0.17905928140870472
0.0,0.17913522236461152
0.0,0.17923014855949498
0.0,0.1794674640467037
0.0,0.17956239024158716
0.0,0.17974275001186577
0.0,0.1797712278703308
0.0,0.1798471688262376
0.0,0.17998955811856282
0.0,0.18017941050832978
0.0,0.18025535146423655
0.0,0.180321799800655
0.0,0.1804452038540035
0.0,0.18053063742939865
0.0,0.1806445488632588
0.0,0.18078693815558403
0.0,0.18084389387251412
0.0,0.18091034220893257
0.0,0.18106222412074613
0.0,0.1811001945986995
0.0,0.18114765769614125
0.0,0.18138497318334995
0.0,0.21854857848023163
0.0,0.25080449950163747
0.0,0.25089942569652096
0.0,0.25093739617447436
0.0,0.30980112962171913
0.0,0.3098580853386492
0.0,0.30997199677250936
0.0,0.3101903270207414
0.0,0.3104466277469268
0.0,0.3287958612179031
0.0,0.3288812947932982
0.0,0.3290711471830652
0.0,0.34000664483364185
0.0,0.34100336987991836
0.0,0.34106032559684846
0.0,0.34109829607480185
0.0,0.3413451041814989
0.0,0.3414400303763824
0.0,0.34179125729745125
0.0,0.341838720394893
0.0,0.3418766908728464
0.0,0.3419621244482415
0.0,0.3419906023067065
0.0,0.34205705064312497
0.0,0.3421424842185201
0.0,0.34220893255493856
0.0,0.3422658882718686
0.0,0.34231335136931035
0.0,0.34263610043191417
0.0,0.3427025487683326
0.0,0.3431297166453083
0.0,0.3432531206986568
0.0,0.34338601737149366
0.0,0.3434904361858655
0.0,0.34353789928330725
0.0,0.34366130333665573
0.0,0.3437087664340975
0.0,0.34391760406284116
0.0,0.3441264416915848
0.0,0.3467558972898571
0.0,0.3469267644406474
0.0,0.3470027053965542
0.0,0.3470691537329726
0.0,0.3471261094499027
0.0,0.3471830651668328
0.0,0.34721154302529783
0.0,0.34745835113199486
0.0,0.34754378470739
0.0,0.34761023304380845
0.0,0.3478855190089705
0.0,0.34793298210641227
0.0,0.34802790830129576
0.0,0.3481038492572025
0.0,0.3485405097536665
0.0,0.3485974654705966
0.0,0.3487303621434335
0.0,0.3489676776306422
0.0,0.3491765152593858
0.0,0.34920499311785086
0.0,0.3494707864635246
0.0,0.3497460724286867
0.0,0.35006882149129054
0.0,0.3501162845887323
0.0,0.3501447624471973
0.0,0.35049598936826615
0.0,0.35053395984621954
0.0,0.351037068679102
0.0,0.3514547439365893
0.0,0.35164459632635625
0.0,0.3519293749110067
0.0,0.3519958232474251
0.0,0.35219516825668046
0.0,0.3522711092125872
0.0,0.352347050168494
0.0,0.35252740993877263
0.0,0.3526697992310978
0.0,0.3527077697090512
0.0,0.3528406663818881
0.0,0.3529071147183065
0.0,0.3531159523470502
0.0,0.35323935640039866
0.0,0.35339123831221225
0.0,0.3535526128435142
0.0,0.3537329726137928
0.0,0.3538184061891879
0.0,0.35390383976458306
0.0,0.35395130286202475
0.0,0.3548056386159761
0.0,0.3548720869523945
0.0,0.3549005648108596
0.0,0.3549480279083013
0.0,0.3549765057667663
0.0,0.35504295410318476
0.0,0.35508092458113816
0.0,0.3551663581565333
0.0,0.35830841520717643
0.0,0.3583558783046182
0.0,0.35857420855285016
0.0,0.3586406568892686
0.0,0.35866913474773365
0.0,0.3587355830841521
0.0,0.35894442071289573
0.0,0.3589918838103375
0.0,0.36061512174284494
0.0,0.36071004793772843
0.0,0.3607764962741469
0.0,0.36108975271726235
0.0,0.36114670843419244
0.0,0.3612796051070293
0.0,0.36137453130191277
0.0,0.3614599648773079
0.0,0.3616403246475865
0.0,0.36258958659642126
0.0,0.3626940054107931
0.0,0.36276045374721155
0.0,0.36279842422516495
0.0,0.36314015852674547
0.0,0.3632350847216289
0.0,0.36330153305804735
0.0,0.3633679813944658
0.0,0.36343442973088425
0.0,0.3635863116426978
0.0,0.3636812378375813
0.0,0.36375717879348807
0.0,0.36385210498837156
0.0,0.3638805828468366
0.0,0.36424130238739383
0.0,0.36431724334330057
0.0,0.3644216621576724
0.0,0.3644786178746025
0.0,0.3647349186007879
0.0,0.364791874317718
0.0,0.36495324884901986
0.0,0.36514310123878685
0.0,0.3651715790972519
0.0,0.3652095495752053
0.0,0.365475342920879
0.0,0.3655133133988324
0.0,0.3660733779486449
0.0,0.36617779676301676
0.0,0.3662442450994352
0.0,0.3663296786748303
0.0,0.36654800892306233
0.0,0.36668090559589916
0.0,0.3667473539323176
0.0,0.3849162276330153
0.0,0.3849731833499454
0.0,0.3852484693151075
0.0,0.3853149176515259
0.0,0.3855427405192463
0.0,0.3867767810527315
0.0,0.3870235891594285
0.0,0.38710902273482367
0.0,0.3872893825051023
0.0,0.38732735298305565
0.0,0.3874887275143576
0.0,0.3876501020456595
0.0,0.3876785799041245
0.0,0.38776401347951966
0.0,0.38785893967440316
0.0,0.38789691015235656
0.0,0.3879823437277517
0.0,0.3893872514120271
0.0,0.3894442071289572
0.0,0.38951065546537567
0.0,0.3896150742797475
0.0,0.3896720299966776
0.0,0.38974797095258434
0.0,0.38978594143053774
0.0,0.3898903602449096
0.0,0.3900137642982581
0.0,0.3901371683516066
0.0,0.39018463144904836
0.0,0.3902320945464901
0.0,0.3913047605486734
0.0,0.39135222364611516
0.0,0.3914471498409986
0.0,0.391485120318952
0.0,0.3915230907969054
0.0,0.3915800465138355
0.0,0.39170345056718403
0.0,0.3917509136646258
0.0,0.3917888841425791
0.0,0.39183634724002087
0.0,0.3920167070102995
0.0,0.39206417010774125
0.0,0.392140111063648
0.0,0.39235844131188
0.0,0.39244387488727517
0.0,0.3925577863211353
0.0,0.39258626417960035
0.0,0.3926906829939722
0.0,0.39279510180834404
0.0,0.3928520575252741
0.0,0.3929754615786226
0.0,0.3930324172955527
0.0,0.3933077032607148
0.0,0.3933646589776449
0.0,0.3934026294555983
0.0,0.3934405999335517
0.0,0.39348806303099343
0.0,0.3938392899520623
0.0,0.393886753049504
0.0,0.3939247235274574
0.0,0.39406711281978263
0.0,0.3941145759172244
0.0,0.39415254639517777
0.0,0.3942095021121078
0.0,0.39444681759931655
0.0,0.3944752954577816
0.0,0.39452275855522334
0.0,0.39455123641368833
0.0,0.3946746404670369
0.0,0.39473159618396697
0.0,0.3996392804594428
0.0,0.39971522141534954
0.0,0.39977217713227964
0.0,0.3998955811856282
0.0,0.3999430442830699
0.0,0.40000949261948837
0.0,0.40005695571693006
0.0,0.4002752859651621
0.0,0.40032274906260384
0.0,0.4004556457354407
0.0,0.4005315866913475
0.0,0.4005790497887892
0.0,0.40074991693957945
0.0,0.40078788741753285
0.0,0.40082585789548625
0.0,0.40105368076320663
0.0,0.40109165124116
0.0,0.4011391143386017
0.0,0.4012530257724619
0.0,0.40130048886990366
0.0,0.4013289667283687
0.0,0.4013669372063221
0.0,0.4014333855427405
0.0,0.40163273055199583
0.0,0.4016612084104609
0.0,0.4016896862689259
0.0,0.40176562722483267
0.0,0.4018130903222744
0.0,0.40201243533152975
0.0,0.4020978689069249
0.0,0.4022212729602734
0.0,0.4022497508187384
0.0,0.4023636622525986
0.0,0.402401632730552
0.0,0.40243011058901706
0.0,0.40253452940338885
0.0,0.40259148512031895
0.0,0.40318952014808485
0.0,0.4032369832455266
0.0,0.4033319094404101
0.0,0.4034458208742703
0.0,0.40351226921068867
0.0,0.4035597323081304
0.0,0.4036166880250605
0.0,0.4036926289809673
0.0,0.40374009207840905
0.0,0.40377806255636245
0.0,0.40384451089278084
0.0,0.403929944468176
0.0,0.4040533485215245
0.0,0.40410081161896627
0.0,0.4042526935307798
0.0,0.40430015662822155
0.0,0.40436660496464
0.0,0.40439508282310505
0.0,0.4045089942569652
0.0,0.40455645735440693
0.0,0.404584935212872
0.0,0.404613413071337
0.0,0.40469884664673217
0.0,0.40473681712468557
0.0,0.40486022117803405
0.0,0.40497413261189424
0.0,0.405021595709336
0.0,0.40505007356780104
0.0,0.40525891119654467
0.0,0.40529688167449807
0.0,0.40533485215245146
0.0,0.40537282263040486
0.0,0.4054202857278466
0.0,0.40550571930324175
0.0,0.40555318240068344
0.0,0.40564810859556694
0.0,0.4059613650386824
0.0,0.4060373059945892
0.0,0.40617969528691444
0.0,0.4062271583843562
0.0,0.4063885329156581
0.0,0.4064739664910532
0.0,0.40650244434951827
0.0,0.4065688926859367
0.0,0.4066163557833784
0.0,0.40672077459775025
0.0,0.40679671555365704
0.0,0.40687265650956383
0.0,0.4069770753239356
0.0,0.40706250889933077
0.0,0.40711946461626086
0.0,0.4071669277137026
0.0,0.4072238834306327
0.0,0.40728083914756275
0.0,0.407670036546585
0.0,0.40771749964402676
0.0,0.4077459775024918
0.0,0.40777445536095686
0.0,0.40788836679481705
0.0,0.40794532251174714
0.0,0.4080212634676539
0.0,0.4080592339456073
0.0,0.4081351749015141
0.0,0.40821111585742087
0.0,0.40864777635388483
0.0,0.4087237173097916
0.0,0.4088186435046751
0.0,0.4091508851867673
0.0,0.4092837818596042
0.0,0.4101096397550904
0.0,0.41017608809150885
0.0,0.41021405856946225
0.0,0.4102994921448574
0.0,0.41032797000332244
0.0,0.41037543310076413
0.0,0.4104703592956476
0.0,0.410508329773601
0.0,0.41085006407518154
0.0,0.41092600503108834
0.0,0.41098296074801843
0.0,0.4111443352793203
0.0,0.41119179837676206
0.0,0.41124875409369216
0.0,0.41134368028857565
0.0,0.41139114338601734
0.0,0.41142911386397074
0.0,0.41146708434192414
0.0,0.4115904883952727
0.0,0.4116379514927144
0.0,0.4117423703070862
0.0,0.4118372965019697
0.0,0.41188475959941145
0.0,0.4119132374578765
0.0,0.4120461341307134
0.0,0.41208410460866673
0.0,0.4121505529450852
0.0,0.412226493900992
0.0,0.4123119274763871
0.0,0.41234040533485217
0.0,0.4124068536712706
0.0,0.41250177986615405
0.0,0.41253975034410745
0.0,0.4126821396364327
0.0,0.4130428591769899
