group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,68182,0,68182,13,13.0,68169.0,0.00019066615822357807,,,
Goldeneye,64691,64691,0,64691,,,,1.0,64691.0,0.0
Hping3,5542,5542,0,5542,,,,1.0,5542.0,0.0
Nmap,28065,28065,0,28055,,,,0.9996436843042936,28055.0,10.0
Slowloris,7047,7047,0,7047,,,,1.0,7047.0,0.0
