group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,68182,0,68182,476,476.0,67706.0,0.0069813147164940895,,,
Goldeneye,64691,64691,0,62747,,,,0.969949452010326,62747.0,1944.0
Hping3,5542,5542,0,5499,,,,0.9922410682064237,5499.0,43.0
Nmap,28065,28065,0,27885,,,,0.9935863174772849,27885.0,180.0
Slowloris,7047,7047,0,7033,,,,0.9980133390095076,7033.0,14.0
