group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,68182,0,68182,476,476.0,67706.0,0.0069813147164940895,,,
HTTPFlood,64691,64691,0,62747,,,,0.969949452010326,62747.0,1944.0
ICMPFlood,613,613,0,570,,,,0.9298531810766721,570.0,43.0
SYNFlood,4929,4929,0,4929,,,,1.0,4929.0,0.0
SYNScan,10024,10024,0,9995,,,,0.9971069433359936,9995.0,29.0
SlowrateDoS,7047,7047,0,7033,,,,0.9980133390095076,7033.0,14.0
TCPConnectScan,10022,10022,0,9928,,,,0.9906206346038715,9928.0,94.0
UDPScan,8019,8019,0,7962,,,,0.9928918817807707,7962.0,57.0
