block,base_station,attack_types,rows,benign,malicious,malicious_pct,accuracy,precision,recall,f1,fpr,tnr,TP,TN,FP,FN
1,0,TCPConnectScan,11645,1623,10022,86.0627,0.991412623443538,0.9993960136903564,0.9906206346038715,0.9949889757466426,0.0036968576709796672,0.9963031423290203,9928,1617,6,94
3,0,ICMPFlood,18279,17666,613,3.3536,0.9928880135674818,0.867579908675799,0.9298531810766721,0.8976377952755906,0.004924714140156232,0.9950752858598437,570,17579,87,43
10,1,SYNScan,11526,1502,10024,86.9686,0.9958355023425299,0.9981026562812063,0.9971069433359936,0.9976045513524303,0.012649800266311585,0.9873501997336884,9995,1483,19,29
12,1,UDPScan,10305,2286,8019,77.8166,0.9921397379912664,0.9969947407963937,0.9928918817807707,0.9949390815370197,0.010498687664041995,0.989501312335958,7962,2262,24,57
15,1,SYNFlood,14108,9179,4929,34.9376,0.9934079954635667,0.9814814814814815,1.0,0.9906542056074767,0.010131822638631658,0.9898681773613683,4929,9086,93,0
16,1,HTTPFlood,93650,28959,64691,69.0774,0.9776721836625734,0.9976627341240818,0.969949452010326,0.9836109260493004,0.005076142131979695,0.9949238578680203,62747,28812,147,1944
17,1,SlowrateDoS,12656,5609,7047,55.6811,0.993204804045512,0.9898662913441238,0.9980133390095076,0.9939231204070097,0.012836512747370297,0.9871634872526297,7033,5537,72,14
19,1,Benign,1358,1358,0,0.0,0.979381443298969,0.0,0.0,0.0,0.020618556701030927,0.979381443298969,0,1330,28,0
