model,evaluation,threshold,accuracy,precision,recall,f1,fpr,tnr,roc_auc,pr_auc
Random Forest,secondary (unseen-capture),0.5181841322856574,0.9998674557849787,0.9998765994608345,0.9999050738051165,0.9998908364302562,0.00019066615822357807,0.9998093338417764,0.9999998343225895,0.9999998926254516
Random Forest,primary (within-capture),0.4787342346089332,0.6557713182969485,0.9885664207394124,0.4380395910847813,0.6070789371581622,0.0078275429049811,0.9921724570950188,0.8528237494720432,0.8673871899950403
SVM (Nystroem + LinearSVC),secondary (unseen-capture),-0.046356364426058616,0.9846882617690619,0.9954071786954843,0.9792965968959134,0.9872861688637941,0.0069813147164940895,0.9930186852835059,0.9988481506375324,0.998757614687678
SVM (Nystroem + LinearSVC),primary (within-capture),-0.0628743124094932,0.6538744092718282,0.9824056431669842,0.4376873893725391,0.6055752002299052,0.0121110646016464,0.9878889353983537,0.8501768301758702,0.879444940373002
1-D CNN,secondary (unseen-capture),0.5019221901893616,0.994617552311744,0.9933564550119546,0.9978072048981916,0.9955768556842614,0.010310639171628876,0.9896893608283711,0.9999089290070752,0.9999457366020453
1-D CNN,primary (within-capture),0.4717311859130859,0.6509851865659367,0.9974425633546804,0.4261821334392949,0.5971970008541871,0.001688293567741,0.998311706432259,0.8509783648657272,0.8642825897722863
