group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,71670,0,71670,561,561.0,71109.0,0.007827542904981164,,,
HTTPFlood,21123,21123,0,21122,,,,0.9999526582398334,21122.0,1.0
ICMPFlood,174,174,0,174,,,,1.0,174.0,0.0
SYNFlood,1459,1459,0,1459,,,,1.0,1459.0,0.0
SYNScan,3007,3007,0,3007,,,,1.0,3007.0,0.0
SlowrateDoS,10971,10971,0,10971,,,,1.0,10971.0,0.0
TCPConnectScan,3009,3009,0,3009,,,,1.0,3009.0,0.0
UDPFlood,68602,68602,0,6376,,,,0.09294189673770444,6376.0,62226.0
UDPScan,2387,2387,0,2387,,,,1.0,2387.0,0.0
