group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,71670,0,71670,868,868.0,70802.0,0.012111064601646435,,,
HTTPFlood,21123,21123,0,20839,,,,0.9865549401126734,20839.0,284.0
ICMPFlood,174,174,0,174,,,,1.0,174.0,0.0
SYNFlood,1459,1459,0,1459,,,,1.0,1459.0,0.0
SYNScan,3007,3007,0,3000,,,,0.9976720984369803,3000.0,7.0
SlowrateDoS,10971,10971,0,10963,,,,0.9992708048491478,10963.0,8.0
TCPConnectScan,3009,3009,0,3001,,,,0.997341309405118,3001.0,8.0
UDPFlood,68602,68602,0,6656,,,,0.09702341039619836,6656.0,61946.0
UDPScan,2387,2387,0,2374,,,,0.9945538332635107,2374.0,13.0
