group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,71670,0,71670,121,121.0,71549.0,0.0016882935677410354,,,
HTTPFlood,21123,21123,0,21113,,,,0.9995265823983336,21113.0,10.0
ICMPFlood,174,174,0,174,,,,1.0,174.0,0.0
SYNFlood,1459,1459,0,1459,,,,1.0,1459.0,0.0
SYNScan,3007,3007,0,3007,,,,1.0,3007.0,0.0
SlowrateDoS,10971,10971,0,10966,,,,0.9995442530307174,10966.0,5.0
TCPConnectScan,3009,3009,0,3009,,,,1.0,3009.0,0.0
UDPFlood,68602,68602,0,5086,,,,0.07413778023964315,5086.0,63516.0
UDPScan,2387,2387,0,2378,,,,0.9962295768747381,2378.0,9.0
