group,support,n_malicious,n_benign,predicted_malicious,false_positives,true_negatives,fpr,recall,detected,missed
Benign,71670,0,71670,121,121.0,71549.0,0.0016882935677410354,,,
Goldeneye,21123,21123,0,21113,,,,0.9995265823983336,21113.0,10.0
Hping3,70235,70235,0,6719,,,,0.09566455470919058,6719.0,63516.0
Nmap,8403,8403,0,8394,,,,0.9989289539450197,8394.0,9.0
Slowloris,1990,1990,0,1990,,,,1.0,1990.0,0.0
Torshammer,8981,8981,0,8976,,,,0.9994432691237056,8976.0,5.0
