model,operating_point,threshold,accuracy,precision,recall,f1,fpr,tnr,roc_auc,pr_auc,TP,TN,FP,FN,per_flow_inference_ms
RandomForest,validation FPR <= 1%,0.4787342346089332,0.6557713182969485,0.9885664207394123,0.4380395910847813,0.6070789371581622,0.007827542904981164,0.9921724570950189,0.8528237494720432,0.8673871899950403,48505,71109,561,62227,0.001703
SVM,validation FPR <= 1%,-0.0628743124094932,0.6538744092718282,0.9824056431669842,0.4376873893725391,0.6055752002299052,0.012111064601646435,0.9878889353983535,0.8501768301758702,0.879444940373002,48466,70802,868,62266,0.006808
CNN_1D,validation FPR <= 1%,0.47173118591308594,0.6509851865659367,0.9974425633546805,0.4261821334392949,0.5971970008541871,0.0016882935677410354,0.998311706432259,0.8509783648657272,0.8642825897722863,47192,71549,121,63540,0.003808
