model,operating_point,threshold,val_recall,val_fpr,val_precision,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_specificity,roc_auc,pr_auc,batch_throughput_ms_per_flow,train_seconds,model_size,model_size_kind
RandomForest,validation FPR <= 1%,0.4787342346089332,0.5340444171491018,0.0007535689864497132,0.9990876066570922,0.6557713182969485,0.9885664207394123,0.4380395910847813,0.6070789371581622,0.007827542904981164,0.9921724570950189,0.8528237494720432,0.8673871899950403,0.001703,31.11,172630,tree nodes
SVM,validation FPR <= 1%,-0.0628743124094932,0.5350830450764521,0.009991766561073975,0.9880591040992629,0.6538744092718282,0.9824056431669842,0.4376873893725391,0.6055752002299052,0.012111064601646435,0.9878889353983535,0.8501768301758702,0.879444940373002,0.006808,3093.58,513,linear weights (+bias)
CNN_1D,validation FPR <= 1%,0.47173118591308594,0.5313801107267686,0.0001814147559971532,0.9997790956515828,0.6509851865659367,0.9974425633546805,0.4261821334392949,0.5971970008541871,0.0016882935677410354,0.998311706432259,0.8509783648657272,0.8642825897722863,0.003808,159.63,10561,trainable parameters
